Vorname,Nachname,Geburtsdatum,Straße,Hausnummer,Postleitzahl,Stadt,Telefon,Mobil,EMail
Bernt,Weißhaar,04.02.1954,Auf Wissen Woog,81,91438,Bad Windsheim,09841/11313959,0166/6455048,bernt_1954@open-mail.none
Wernhild,Bachem,28.10.2016,Agnes-Bernauer-Straße,169,57635,Ersfeld,02686/12494237,,w.bachem@trashmail.none
Justin,Göllner,18.05.1985,Kornhahnstraße,51,35644,Hohenahr,,,justingoellner@company.none
Siegfrid,Rettinger,04.04.1951,Im Buschfeld,96,57632,Reiferscheid,02685/82687360,,
Blasius,Reuss,20.07.1984,Flurweg,29,72585,Riederich,07123/72238850,0160/9115886,blasiusreuss@net-mail.none
Beat,Kellermann,,Fallerwasen,26,25572,Büttel,04823/95526755,0172/4024369,
August,Döbler,,Dümpelacker,24,38820,Halberstadt,03941/49051370,,a_doebler@funmail.none
Jolanthe,Graap,29.08.1983,Breitscheider Straße,147,91793,Alesheim,09146/53577235,,
Sabinchen,Fock,,Im Stillen Winkel,104,53115,Bonn,0228/21034548,0163/8284469,
Zacharias,Todd,,Kronenweg,122,64653,Lorsch,06251/83877898,0173/7988510,z-todd@email.none
Gottlob,Leib,,Schöneberger Straße,70,25785,Sarzbüttel,,0157/5427146,gottlob.leib@inter-mail.none
Svea,Sievers,,Am Bongert,92,26434,Wangerland,04463/48663711,0165/1279120,
Irmingard,Marciniak,,Wallbachstraße,138,88147,Achberg,08380/87498461,0178/3563157,
Patricia,Ubben,,Johannespesch,115,56826,Lutzerath,,0156/8524592,p_ubben@web.none
Alice,Poerschke,,Gubener Straße,157,17111,Kentzlin,,,a.poerschke@retromail.none
Otmar,Schaich,17.04.1976,Jakobsberger Weg,54,33758,Schloß Holte-Stukenbrock,05207/47075471,0159/4789180,otmar_76@funmail.none
Magda,Moore,,Am Glaskopf,45,97346,Iphofen,09323/8051183,0164/4157372,
Klaas,Dittmann,,In der Bitze,183,49584,Fürstenau,05901/76604868,0157/8782710,klaas_dittmann@web.none
Gottfrieda,Malchow,,Kardinal-von-Galen-Straße,106,74599,Wallhausen,,0165/7718576,gottfrieda-malchow@private.none
Hannmeike,Kessler,20.03.1973,Ludwig-Richter-Straße,166,93480,Hohenwarth,09946/34192320,,hannmeike_kessler@hoster.none
Konradin,Noske,03.09.1956,Strippchens Hof,165,55608,Bergen,06752/88848459,,
Svea,Balthasar,,Bergiusstraße,72,93477,Gleißenberg,09975/23884877,0154/7826166,sveabalthasar@bestmail.none
Ullrich,Häfner,,Fürstengrund,145,56729,Nitz,02692/765566,0151/6285777,ullrich-88@bestmail.none
Chiara,Will,,Kreuzgartenweg,187,48361,Beelen,02586/38554046,,chiara2017@hoster.none
Annemargret,Aue,,Lämmerstraße,158,33803,Steinhagen,05204/66098841,0176/6331254,a.52@spam-mail.none
Eginald,Frommer,,Jägerpfad,158,34379,Calden,05674/32996742,0165/4048379,e.1974@spam-mail.none
Karolina,Schmeling,,Pfarrstraße,42,54675,Sinspelt,06564/14594110,0157/2732065,karolina_2006@goggle-mail.none
Christhart,Stütz,,Lotharstraße,24,54413,Damflos,,0164/3095100,c-stuetz@spam-mail.none
